Workflow,XLSX Tab,Test Case ID,Summary,Automatability,Dependency / Reason,Flow file (if implemented)
Update,Update,Uninstall/Reinstall,Fresh Play Store install + old app version,Partial,"Needs a specific old app build provisioned + a real Play Store install BLOCKED: genuinely needs a real Play Store install, which this harness's sideloaded-APK BrowserStack approach cannot perform (App Automate installs the uploaded APK directly, bypassing the Play Store entirely) - no Maestro/harness path exists for this today.",
Update,Update,Interrupt update,Toggle airplane mode mid-download,Not automatable,Timing-critical manual airplane-mode toggle during a live download,
Update,Update,Reestablish connection,Wait ~10 minutes,Not automatable,Open-ended real-time wait,
Update,Update,Verify update,"Logout/login, confirm version",Automatable,,flows/update/update_target_developer_options_flow.yaml
Update,Update,Recheck button 1,"HQ trivial change + release, then airplane mode",Not automatable,HQ change + airplane-mode timing,
Update,Update,Recheck button 2,"Reconnect, press Recheck, verify update",Partial,"Needs a scripted network-disable/enable step (BrowserStack network condition, not physical airplane mode) BLOCKED: depends on 'Recheck button 1' (Not automatable - manual airplane-mode toggle) having already put the device in that state; this harness has no scripted network-condition toggle (BrowserStack may expose one, not wired into run_suite.py/browserstack_client.py today) - no Maestro/harness path exists for this yet.",
Mobile Pins,Mobile Pins,Setup 1,Install CommCare,Automatable,Framework setup step,(handled by scripts/download_apk.py - no dedicated flow needed)
Mobile Pins,Mobile Pins,Setup 2,Publish app to device via HQ,Partial,HQ API: publish/star latest build,(handled by hq_setup/mobile_pins/setup_02_install_application.json - no dedicated flow needed beyond common/login.yaml)
Mobile Pins,Mobile Pins,Setup 3,Enable Developer Options (tap About CommCare 4x),Automatable,,flows/mobile_pins/setup_03_enable_developer_options.yaml
Mobile Pins,Mobile Pins,Setup 4,Claim mobile privileges via barcode scan on HQ page,Partial,"Full claim (steps 4-10) is not automatable - the scanned QR encodes a plain signed JSON payload (not a URI, no deep link possible) and BrowserStack's camera-image-injection only works via a live Appium/XCUITest/Espresso WebDriver session, which Maestro has no hook to invoke. Rescoped 2026-08-08: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - rather than asserting the never-appearing PIN-login toggle.",flows/mobile_pins/setup_04_claim_privileges_scanner_opens.yaml
Mobile Pins,Mobile Pins,Pin 1,Prompt shown on first login,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Prompt shown on first login"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_01_prompt_shown_on_first_login.yaml
Mobile Pins,Mobile Pins,Pin 2,Info tooltip toggle,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Info tooltip toggle"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_02_information_tooltip.yaml
Mobile Pins,Mobile Pins,Pin 3,"'No, and don't ask again'",Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""'No, and don't ask again'"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_03_no_dont_ask_again.yaml
Mobile Pins,Mobile Pins,Pin 4,Set My Pin (menu path),Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Set My Pin (menu path)"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_04_set_my_pin.yaml
Mobile Pins,Mobile Pins,Setup 5,Uninstall app via App Manager,Automatable,Can be done via adb uninstall instead of on-screen navigation,flows/mobile_pins/setup_05_uninstall_app.yaml
Mobile Pins,Mobile Pins,Setup 6,Reinstall app (repeat Setup 2-4),Partial,Same HQ + barcode dependency as Setup 2/4,(handled by hq_setup/mobile_pins/setup_06_reinstall_application.json - no dedicated flow needed beyond flows/mobile_pins/setup_05_uninstall_app.yaml)
Mobile Pins,Mobile Pins,Pin 1,Prompt shown again after reinstall,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Prompt shown again after reinstall"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_01_prompt_shown_on_first_login.yaml
Mobile Pins,Mobile Pins,Pin 6,"'No, but ask again later'",Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""'No, but ask again later'"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_06_no_but_ask_again_later.yaml
Mobile Pins,Mobile Pins,Pin 7,Setup PIN via prompt,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Setup PIN via prompt"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_07_setup_pin.yaml
Mobile Pins,Mobile Pins,Pin 8,Login using PIN,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Login using PIN"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_08_login_using_pin.yaml
Mobile Pins,Mobile Pins,Pin 9,Change PIN via options menu,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Change PIN via options menu"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_09_change_pin_menu.yaml
Mobile Pins,Mobile Pins,Pin 10,Login using changed PIN,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Login using changed PIN"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_10_login_using_changed_pin.yaml
Mobile Pins,Mobile Pins,Pin 11,Forgot PIN reverts to password,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Forgot PIN reverts to password"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_11_forgot_pin.yaml
Mobile Pins,Mobile Pins,Pin 12,Reset PIN,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Reset PIN"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_12_reset_pin.yaml
Mobile Pins,Mobile Pins,Pin 13,Login using reset PIN,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Login using reset PIN"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_13_login_using_reset_pin.yaml
Mobile Pins,Mobile Pins,Pin 14,Reset PIN prompt persists after decline,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Reset PIN prompt persists after decline"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/pin_14_reset_pin_persists_after_decline.yaml
Mobile Pins,Mobile Pins,Mutiple App PIN,Install two CCZ apps + enable PIN,Partial,HQ API: publish for two apps,"(handled by hq_setup/mobile_pins/mutiple_app_pin_install_apps.json - no dedicated flow needed beyond Setup 4's manual barcode-claim, run once per app)"
Mobile Pins,Mobile Pins,Mutiple App PIN,Per-app PIN isolation after uninstalling one app,Partial,"Same root-cause blocker as every mobile_pins Pin test - the ""Give option to use PIN for login"" dev preference can never appear without a real Mobile Privileges QR claim (see flows/common/enable_pin_login_option.yaml's own ""FINAL UPDATE"" for the full source citation), so this test's own subject matter (""Per-app PIN isolation after uninstalling one app"") can never be reached. Rescoped 2026-08-09: flow verifies everything genuinely automatable instead - Developer Options unlock, reaching the Mobile Privileges/Claim Privileges screen, and confirming CLAIM PRIVILEGES actually opens the scanner (screen transition) - the same boundary Setup 4 already established.",flows/mobile_pins/multiple_app_pin_per_app_isolation.yaml
Multimedia,Multimedia,MM1,Install w/o multimedia + manual zip transfer + install via Options menu,Not automatable,Requires downloading a zip from HQ and moving it onto the device SD card from a PC,
Multimedia,Multimedia,MM2,Verification Fail after moving a media file out via file manager,Not automatable,Needs device file-manager relocation of an app-internal media file (adb-level access on modern Android),
Multimedia,Multimedia,MM3,Verification Success after moving file back,Not automatable,Same dependency as MM2,
Multimedia,Multimedia,MM4,Question Image/Audio/Select Choice navigation + submit,Partial,Navigation/tap/checkbox steps automatable; 'audio plays correctly' is a human judgment call and is skipped,flows/multimedia/mm4_question_types.yaml
Multimedia,Multimedia,MM5,Verification Failure from Advanced > Validate Media menu,Not automatable,Same file-relocation dependency as MM2,
Multimedia,Multimedia,MM6,Retry after restoring file,Not automatable,Same dependency as MM5,
Multimedia,Multimedia,Icons,View module/form icons + audio,Partial,Icon-visible assertions automatable; audio-plays judgment skipped,flows/multimedia/icons_module_form_icons.yaml
Multimedia,Multimedia,Image Resize 1,View Large/Small/Wide/Tall image form,Partial,Navigation automatable; 'not distorted' is a visual-regression check outside Maestro's built-in assertions,flows/multimedia/image_resize_01_04_default_setting.yaml
Multimedia,Multimedia,Image Resize 2,View Large/Small/Wide/Tall image form,Partial,Navigation automatable; 'not distorted' is a visual-regression check outside Maestro's built-in assertions,flows/multimedia/image_resize_01_04_default_setting.yaml
Multimedia,Multimedia,Image Resize 3,View Large/Small/Wide/Tall image form,Partial,Navigation automatable; 'not distorted' is a visual-regression check outside Maestro's built-in assertions,flows/multimedia/image_resize_01_04_default_setting.yaml
Multimedia,Multimedia,Image Resize 4,View Large/Small/Wide/Tall image form,Partial,Navigation automatable; 'not distorted' is a visual-regression check outside Maestro's built-in assertions,flows/multimedia/image_resize_01_04_default_setting.yaml
Multimedia,Multimedia,Image Resize 5,Change Auto-Resize Images setting on HQ ('Full Resize') + new build,Not automatable,HQ app-builder Advanced Settings edit,hq_setup/multimedia/image_resize_full_resize.json
Multimedia,Multimedia,Image Resize 6,Repeat of Image Resize 1-4 after resize setting change,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_06_09_full_resize.yaml
Multimedia,Multimedia,Image Resize 7,Repeat of Image Resize 1-4 after resize setting change,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_06_09_full_resize.yaml
Multimedia,Multimedia,Image Resize 8,Repeat of Image Resize 1-4 after resize setting change,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_06_09_full_resize.yaml
Multimedia,Multimedia,Image Resize 9,Repeat of Image Resize 1-4 after resize setting change,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_06_09_full_resize.yaml
Multimedia,Multimedia,Image Resize 10,Change Auto-Resize Images to 'Horizontal Resize' + new build,Not automatable,HQ app-builder Advanced Settings edit,hq_setup/multimedia/image_resize_horizontal_resize.json
Multimedia,Multimedia,Image Resize 11,Repeat with rotation check,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_11_14_horizontal_resize.yaml
Multimedia,Multimedia,Image Resize 12,Repeat with rotation check,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_11_14_horizontal_resize.yaml
Multimedia,Multimedia,Image Resize 13,Repeat with rotation check,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_11_14_horizontal_resize.yaml
Multimedia,Multimedia,Image Resize 14,Repeat with rotation check,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_11_14_horizontal_resize.yaml
Multimedia,Multimedia,Image Resize 15,Change Auto-Resize Images to 'Half Resize' + new build,Not automatable,HQ app-builder Advanced Settings edit,hq_setup/multimedia/image_resize_half_resize.json
Multimedia,Multimedia,Image Resize 16,Repeat,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_16_19_half_resize.yaml
Multimedia,Multimedia,Image Resize 17,Repeat,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_16_19_half_resize.yaml
Multimedia,Multimedia,Image Resize 18,Repeat,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_16_19_half_resize.yaml
Multimedia,Multimedia,Image Resize 19,Repeat,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_16_19_half_resize.yaml
Multimedia,Multimedia,Image Resize 20,Restore Auto-Resize Images to 'None' + new build,Not automatable,HQ app-builder Advanced Settings edit,hq_setup/multimedia/image_resize_none_resize.json
Multimedia,Multimedia,Image Resize 21,Repeat,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_21_24_none_resize.yaml
Multimedia,Multimedia,Image Resize 22,Repeat,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_21_24_none_resize.yaml
Multimedia,Multimedia,Image Resize 23,Repeat,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_21_24_none_resize.yaml
Multimedia,Multimedia,Image Resize 24,Repeat,Partial,Same as Image Resize 1-4,flows/multimedia/image_resize_21_24_none_resize.yaml
Multimedia,Multimedia,Image Resize 25,Photo taken per question + submit,Partial,Camera capture is flaky/unsupported on most cloud emulators; feasible only if the BrowserStack device supports an injected camera image,flows/multimedia/image_resize_25_photo_taken.yaml
Multimedia,Multimedia,Image Resize 26,Photo chosen (from gallery) per question + submit,Automatable,Use Maestro addMedia to push a known image into the device gallery first,flows/multimedia/image_resize_26_photo_chosen.yaml
Multimedia,Multimedia,Image Resize 27,HQ Submit History attachment size/type verification,Not automatable,HQ report browser inspection,
Multimedia,Multimedia,Image Resize 28,HQ Submit History attachment size/type verification,Not automatable,HQ report browser inspection,
Multimedia,Multimedia,Video Types,Standard vs inline video playback,Not automatable,Playback-correctness is a human judgment call,
Multimedia,Multimedia,Gif,Gif renders in first question,Partial,Element-visible assertion automatable; 'is it actually animating' judgment skipped,flows/multimedia/gif_can_add_gif.yaml
Multimedia,Multimedia,Photo 1,Remove taken photo,Partial,Same camera-capture caveat as Image Resize 25,flows/multimedia/photo_01_can_remove_taken_photo.yaml
Multimedia,Multimedia,Photo 2,Remove chosen photo,Automatable,addMedia + remove-button flow,flows/multimedia/photo_02_can_remove_chosen_photo.yaml
Multimedia,Multimedia,Photo Verification,HQ Submit History - fields left blank,Not automatable,HQ report browser inspection,
Multimedia,Multimedia,Image Compatibility,Low/high density setting across two different physical device tiers,Not automatable,Requires an actual low-end and a high-end physical device plus an HQ setting change,
Multimedia,Multimedia,Logo 1,Dimagi logo visible on login screen,Automatable,,flows/multimedia/logo_01_login_logo.yaml
Multimedia,Multimedia,Logo 2,Dimagi logo visible on home screen,Automatable,,flows/multimedia/logo_02_home_screen_logo.yaml
Multimedia,Multimedia,Logo 3,Dimagi logo visible in demo mode,Automatable,,flows/multimedia/logo_03_demo_logo.yaml
Multimedia,Multimedia,Media 1,Open captured media using a chosen external app,Not automatable,Depends on Android's app-chooser dialog and whatever third-party apps happen to be preinstalled on the farm image,
Multimedia,Multimedia,Media 2,Media capture/select + custom-property check + sync,Partial,On-device capture/sync automatable with addMedia; the 'no custom properties present' check is an HQ inspection step,flows/multimedia/media_02_capture_and_select.yaml
Multimedia,Multimedia,Media 3,Verify .aes encryption extension via device file manager,Not automatable,App-private storage path isn't reachable from a standard file manager on modern Android - needs adb shell,
Multimedia,Multimedia,Media 4,HQ Submit History attachment-name verification,Not automatable,HQ report browser inspection,
Multimedia,Multimedia,Filesize 1,Trigger oversized-file warning,Partial,Needs a >15MB test file pushed via addMedia; BLOCKED: needs flows/multimedia/assets/oversized_test_video.mp4,flows/multimedia/filesize_01_trigger_warning.yaml
Multimedia,Multimedia,Filesize 2,"Upload named large-but-allowed files, verify no warning",Partial,Needs specific named media files provisioned + addMedia; BLOCKED: needs named 6mb/8mb test assets under flows/multimedia/assets/,flows/multimedia/filesize_02_no_warning.yaml
Multimedia,Multimedia,Filesize Warning 1,"Record a ~1 min video, expect size-limit error",Not automatable,Real camera video recording on a device farm is slow/unreliable,
Multimedia,Multimedia,Filesize Warning 2,"Select the same oversized video, expect error",Partial,Automatable if the oversized video can be pushed via addMedia; BLOCKED: needs flows/multimedia/assets/oversized_test_video.mp4,flows/multimedia/filesize_warning_02_select_large_video.yaml
Multimedia,Multimedia,External File in Forms,Open a locally-placed mp4 via in-form hyperlink,Partial,Needs the video file pushed to a specific non-sandboxed device path first; BLOCKED: run_suite.py has no adb-push pre-step hook yet,flows/multimedia/external_file_in_forms.yaml
Multimedia,Multimedia,Lazy Video 1,Install low-media build then release the lazy-video build,Partial,HQ API: mark build released,hq_setup/multimedia/lazy_video_release.json
Multimedia,Multimedia,Lazy Video 2,'Missing video' popup shown per question,Automatable,,flows/multimedia/lazy_video_02_file_missing_popup.yaml
Multimedia,Multimedia,Lazy Video 3,Download + play lazily-loaded video,Partial,Depends on a real background download completing within the test's timeout,flows/multimedia/lazy_video_03_download_and_play.yaml
Multimedia,Multimedia,Lazy Video 4,Videos still play after relogin,Automatable,,flows/multimedia/lazy_video_04_relogin_videos_play.yaml
Multimedia,Multimedia,Lazy Video 5,'Media not found' message for unreferenced videos,Automatable,,flows/multimedia/lazy_video_05_no_references_media_not_found.yaml
Multimedia,Multimedia,Capture 1,Gather signature (draw + save),Automatable,Maestro swipe/drag gestures can draw a signature,flows/multimedia/capture_01_gather_signature.yaml
Multimedia,Multimedia,Capture 2,Signature reset + redraw,Automatable,,flows/multimedia/capture_02_signature_reset.yaml
Multimedia,Multimedia,Capture 3,Take picture for image question,Partial,Camera-capture caveat,flows/multimedia/capture_03_04_take_and_remove_photo.yaml
Multimedia,Multimedia,Capture 4,Remove + retake image,Partial,Camera-capture caveat,flows/multimedia/capture_03_04_take_and_remove_photo.yaml
Multimedia,Multimedia,Capture 5,Record + play video,Not automatable,Real camera recording + playback-correctness judgment,
Multimedia,Multimedia,Capture 6,Record + play audio,Not automatable,Audio-quality judgment,
Multimedia,Multimedia,Capture 7,Pause/resume while recording audio,Not automatable,Same as Capture 6,
Multimedia,Multimedia,Capture 8,HQ Submit History multimedia integrity check,Not automatable,HQ report browser inspection,
Prompted Updates,Prompted Updates,Setup 1,Confirm CommCare Version build setting,Not automatable,Read-only HQ Advanced Settings inspection - no state to script,
Prompted Updates,Prompted Updates,Setup 2,Mark latest build In Test + install prior released build + login,Partial,HQ API: set build status,hq_setup/prompted_updates/setup_02_mark_in_test.json
Prompted Updates,Prompted Updates,Setup 3,Set Prompt Updates to CommCare/App = On,Partial,HQ API: update-settings toggle,hq_setup/prompted_updates/setup_03_prompts_on.json
Prompted Updates,Prompted Updates,Prompted Update Scenario 1,Optional CCZ update end-to-end,Partial,HQ API: mark latest build Released; rest is on-device,hq_setup/prompted_updates/scenario_01_mark_released.json; flows/prompted_updates/scenario_01_optional_ccz_update.yaml
Prompted Updates,Prompted Updates,Prompted Update Scenario 2,Forced CCZ update blocker screen,Partial,HQ API: set Forced + mark Released,hq_setup/prompted_updates/scenario_02_forced.json; flows/prompted_updates/scenario_02_forced_ccz_update.yaml
Prompted Updates,Prompted Updates,Prompted Update Scenario 3,No prompt for an un-starred build,Partial,HQ API: create a new unreleased build,hq_setup/prompted_updates/scenario_03_unreleased_build.json; flows/prompted_updates/scenario_03_unstarred_build_no_prompt.yaml
Prompted Updates,Prompted Updates,Prompted Update Scenario 4 (NOTE: The earliest version for which this test can be performed is CommCare 2.40. Skip it for earlier versions),APK update via Play Store using a 2-versions-back APK,Not automatable,Needs a specific historical APK sideloaded + a real Play Store update chain,
Prompted Updates,Prompted Updates,Setup 1,Set custom keys + release build 3.4.1,Partial,HQ API: set custom properties + create/release build,hq_setup/prompted_updates/varying_prompt_setup.json (covers both Setup 1 and Setup 2 of this Varying-Prompt sub-section in one call)
Prompted Updates,Prompted Updates,Setup 2,Update custom keys + release build 3.4.2,Partial,Same as above,hq_setup/prompted_updates/varying_prompt_setup.json (covers both Setup 1 and Setup 2 of this Varying-Prompt sub-section in one call)
Prompted Updates,Prompted Updates,Varying Prompt 1,Update frequency end-to-end,Automatable,,flows/prompted_updates/varying_prompt_01_update_frequency.yaml
Prompted Updates,Prompted Updates,Varying Prompt 3,3 login/logout cycles as test2 - views-before-reducing-frequency,Automatable,,flows/prompted_updates/varying_prompt_03_views_before_reducing_frequency.yaml
Prompted Updates,Prompted Updates,Varying Prompt 4,4th-login reduced-frequency prompt,Automatable,,flows/prompted_updates/varying_prompt_04_reduced_show_frequency.yaml
Prompted Updates,Prompted Updates,Varying Prompt 5,Forced update completion,Automatable,,flows/prompted_updates/varying_prompt_05_forced_update_completion.yaml
ExternalApp Tests,ExternalApp Tests,Setup 1,Install companion Mobile API Testing App from Jenkins,Partial,Needs the companion APK downloaded from Jenkins and installed alongside CommCare,(out-of-band provisioning - fetching the APK from an internal Jenkins job is not a Maestro flow; see flows/externalapp_tests/README.md for how the resulting APK is consumed via `run_suite.py --other-app`)
ExternalApp Tests,ExternalApp Tests,Setup 2,Install CommCare under test,Automatable,"Covered by run_suite.py's own APK upload/install (every BrowserStack session installs the given --apk fresh) - not a Maestro flow, nothing to add here.",(handled by scripts/run_suite.py's --apk upload/install step - no dedicated flow needed)
ExternalApp Tests,ExternalApp Tests,Setup 3,Deploy fixture test app + login + background CommCare,Partial,HQ API: publish app (see hq_setup/externalapp_tests/setup_03_deploy_fixture_app.json),hq_setup/externalapp_tests/setup_03_deploy_fixture_app.json; flows/externalapp_tests/setup_03_login_and_background.yaml
ExternalApp Tests,ExternalApp Tests,External App 1,"Launch companion app, verify button set",Partial,"Spike confirmed (BrowserStack otherApps) - companion app appId/button text are UNVERIFIED placeholders, see flows/externalapp_tests/README.md",flows/externalapp_tests/external_app_01_launch_and_verify_buttons.yaml
ExternalApp Tests,ExternalApp Tests,External App 2,Start CommCare from companion app + submit form,Partial,"Spike confirmed (BrowserStack otherApps) - companion app appId UNVERIFIED, see flows/externalapp_tests/README.md",flows/externalapp_tests/external_app_02_start_commcare_submit_form.yaml
